period,y,y_cycle,y_trend
1949Q1,765.2337694,NA,NA
1949Q2,764.8920897,NA,NA
1949Q3,765.9192122,NA,NA
1949Q4,765.0763954,NA,NA
1950Q1,768.9312525,NA,NA
1950Q2,771.9355049,NA,NA
1950Q3,775.7270964,NA,NA
1950Q4,777.6237585,NA,NA
1951Q1,778.9727821,NA,NA
1951Q2,780.690677,NA,NA
1951Q3,782.7307088,NA,NA
1951Q4,782.9507072,NA,NA
1952Q1,784.0135872,NA,NA
1952Q2,784.228742,NA,NA
1952Q3,784.9480202,NA,NA
1952Q4,788.1794406,NA,NA
1953Q1,790.0212292,NA,NA
1953Q2,790.7912414,10.44856235,780.3426791
1953Q3,790.2269588,7.87266654,782.3542923
1953Q4,788.7014049,5.630612088,783.0707929
1954Q1,788.2222462,4.26333316,783.958913
1954Q2,788.331178,4.158041013,784.173137
1954Q3,789.4542125,3.591266711,785.8629458
1954Q4,791.3919987,4.685333597,786.7066651
1955Q1,794.208217,4.380625336,789.8275917
1955Q2,795.8222995,5.601815818,790.2204837
1955Q3,797.1637397,6.479490007,790.6842497
1955Q4,797.7622697,8.662904751,789.099365
1956Q1,797.3731078,9.159206811,788.2139009
1956Q2,798.1960456,9.563735209,788.6323104
1956Q3,798.1061725,8.320811421,789.7853611
1956Q4,799.738703,8.731037463,791.0076655
1957Q1,800.3770532,6.572895725,793.8041574
1957Q2,800.1577112,4.248498053,795.9092131
1957Q3,801.1328243,3.87993439,797.2528899
1957Q4,800.0928469,2.420658216,797.6721887
1958Q1,797.4627127,-0.351214512,797.8139272
1958Q2,798.1179324,-0.035573669,798.1535061
1958Q3,800.4054227,2.150201665,798.2552211
1958Q4,802.7177857,3.321355296,799.3964304
1959Q1,804.6208601,4.897540982,799.7233191
1959Q2,806.8521999,6.230321786,800.6218781
1959Q3,806.9233754,5.876599198,801.0467762
1959Q4,807.2080087,7.667763451,799.5402452
1960Q1,809.4304266,11.43353856,797.9968881
1960Q2,808.8895799,10.59067128,798.2989086
1960Q3,809.3776616,8.789367349,800.5882942
1960Q4,808.0859204,5.378903053,802.7070174
1961Q1,808.7586814,3.375760093,805.3829213
1961Q2,810.4419138,4.260421478,806.1814923
1961Q3,812.3433606,5.288804751,807.0545558
1961Q4,814.2854879,7.084870428,807.2006175
1962Q1,816.0533676,6.555036587,809.498331
1962Q2,816.9529807,7.834723913,809.1182568
1962Q3,818.1740035,9.199887136,808.9741164
1962Q4,818.5023247,9.908241125,808.5940835
1963Q1,819.5880151,10.11476264,809.4732525
1963Q2,820.7038899,11.22384071,809.4800492
1963Q3,822.8784989,9.906469421,812.9720295
1963Q4,823.5319551,9.972967754,813.5589873
1964Q1,825.618317,9.682014946,815.936302
1964Q2,826.7011379,9.616598382,817.0845395
1964Q3,828.2513605,10.08780576,818.1635548
1964Q4,828.5597773,10.0324121,818.5273653
1965Q1,830.9507302,11.20037336,819.7503569
1965Q2,832.2060886,11.80002172,820.4060669
1965Q3,834.4050024,11.57209056,822.8329118
1965Q4,836.6829034,12.88026547,823.8026379
1966Q1,839.0879801,13.4964131,825.5915669
1966Q2,839.4290146,13.01244958,826.416565
1966Q3,840.2723535,12.25835649,828.0139971
1966Q4,841.0893791,12.13580705,828.953572
1967Q1,841.9710674,10.98915814,830.9819092
1967Q2,842.0323196,9.661562532,832.370757
1967Q3,842.9740044,8.179527738,834.7944767
1967Q4,843.7251962,7.172002825,836.5531934
1968Q1,845.7441701,7.610079667,838.1340904
1968Q2,847.4011749,7.086053993,840.3151209
1968Q3,848.1731596,8.128661723,840.0444979
1968Q4,848.5656909,7.742384732,840.8233062
1969Q1,850.1186769,8.155081725,841.9635952
1969Q2,850.4222231,8.130403749,842.2918194
1969Q3,851.0805634,8.043501576,843.0370619
1969Q4,850.5916852,6.727014622,843.8646706
1970Q1,850.4430899,4.561497217,845.8815927
1970Q2,850.584909,3.687073767,846.8978352
1970Q3,851.5022637,2.949146892,848.5531169
1970Q4,850.4248368,2.072965184,848.3518716
1971Q1,853.1045997,3.422124153,849.6824755
1971Q2,853.6442528,3.233965977,850.4102869
1971Q3,854.4638694,3.421159746,851.0427097
1971Q4,854.6993712,4.160692903,850.5386783
1972Q1,856.5216204,5.806357928,850.7152625
1972Q2,858.7660043,8.369560143,850.3964441
1972Q3,859.7059637,8.481657792,851.2243059
1972Q4,861.3665605,10.89318863,850.4733718
1973Q1,863.811246,10.6265931,853.1846529
1973Q2,864.8940143,11.81016252,853.0838518
1973Q3,864.3667239,10.13263937,854.2340846
1973Q4,865.3114725,10.27414528,855.0373273
1974Q1,864.4479902,7.336790752,857.1111994
1974Q2,864.6853852,6.410796593,858.2745886
1974Q3,863.7357567,3.649565776,860.0861909
1974Q4,863.3468602,2.291668473,861.0551918
1975Q1,862.1220899,-1.696056683,863.8181466
1975Q2,862.8340929,-1.824035797,864.6581287
1975Q3,864.5312666,-0.164341966,864.6956086
1975Q4,865.8687893,1.080558768,864.7882305
1976Q1,868.0926383,3.453713647,864.6389247
1976Q2,868.8236554,4.250564266,864.5730912
1976Q3,869.3708759,5.473393155,863.8974828
1976Q4,870.0931078,6.765173278,863.3279345
1977Q1,871.2676748,8.632060078,862.6356147
1977Q2,873.1931276,10.63960932,862.5535182
1977Q3,874.9813932,10.58046431,864.4009289
1977Q4,874.9835803,8.677700562,866.3058798
1978Q1,875.3022497,7.013977151,868.2882726
1978Q2,879.0937077,9.799580728,869.294127
1978Q3,880.0942089,10.36321697,869.7309919
1978Q4,881.4294018,11.03653651,870.3928653
1979Q1,881.609024,9.821169791,871.7878542
1979Q2,881.7158959,8.795502634,872.9203933
1979Q3,882.4560237,7.37869264,875.0773311
1979Q4,882.7057851,7.738043445,874.9677416
1980Q1,883.0198068,7.851738946,875.1680679
1980Q2,880.9378061,1.808560728,879.1292454
1980Q3,880.8188868,0.481851982,880.3370348
1980Q4,882.6666354,1.435748841,881.2308866
1981Q1,884.6071236,3.158512762,881.4486109
1981Q2,883.863286,1.749426795,882.1138592
1981Q3,885.0536968,2.852995716,882.2007011
1981Q4,883.9581717,1.102851626,882.85532
1982Q1,882.3924372,0.296213523,882.0962237
1982Q2,882.8475963,1.392965699,881.4546306
1982Q3,882.4645685,1.512694895,880.9518736
1982Q4,882.504503,0.020572026,882.4839309
1983Q1,883.8137491,-0.800110556,884.6138597
1983Q2,886.0638488,2.079051648,883.9847972
1983Q3,888.0431986,4.337962223,883.7052364
1983Q4,890.1079544,6.358500589,883.7494538
1984Q1,892.0438638,9.713095414,882.3307684
1984Q2,893.7568981,10.54717291,883.2097252
1984Q3,894.7163447,12.48873387,882.2276109
1984Q4,895.5338568,12.8977717,882.6360851
1985Q1,896.4982781,12.11356534,884.3847127
1985Q2,897.37488,11.93193064,885.4429494
1985Q3,898.8904612,10.45902891,888.4314322
1985Q4,899.6310044,9.727027392,889.903977
1986Q1,900.560178,8.54692598,892.0132521
1986Q2,901.0095508,7.499785387,893.5097654
1986Q3,901.9620326,7.062904192,894.8991284
1986Q4,902.4976713,6.99202136,895.5056499
1987Q1,903.24008,6.827227464,896.4128526
1987Q2,904.3131994,6.56238841,897.7508109
1987Q3,905.1770693,6.549439657,898.6276296
1987Q4,906.8795471,7.272039182,899.6075079
1988Q1,907.3948435,6.755260704,900.6395828
1988Q2,908.7001544,7.744431456,900.9557229
1988Q3,909.2843733,7.292790138,901.9915831
1988Q4,910.6080695,8.133492759,902.4745767
1989Q1,911.6195393,8.137144252,903.4823951
1989Q2,912.3799103,8.076231899,904.3036784
1989Q3,913.1180599,7.993615164,905.1244448
1989Q4,913.3149128,6.709089083,906.6058238
1990Q1,914.4017754,6.908583227,907.4931921
1990Q2,914.7640267,5.885553284,908.8784734
1990Q3,914.8305275,5.513792512,909.316735
1990Q4,913.9159788,3.118777096,910.7972017
1991Q1,913.4470371,2.074649161,911.372388
1991Q2,914.2237319,1.735760508,912.4879714
1991Q3,914.7277561,1.773539379,912.9542168
1991Q4,915.075649,1.36524546,913.7104035
1992Q1,916.2655926,1.937581498,914.3280111
1992Q2,917.344109,2.675294422,914.6688146
1992Q3,918.3275295,3.511363441,914.816166
1992Q4,919.3652908,5.464115623,913.9011751
1993Q1,919.5325511,5.913135154,913.6194159
1993Q2,920.1132812,6.142441226,913.97084
1993Q3,920.5894604,5.704464486,914.8849959
1993Q4,921.9404072,7.073806187,914.866601
1994Q1,922.9059471,6.550839528,916.3551076
1994Q2,924.2518944,6.821419458,917.4304749
1994Q3,924.8347079,6.676801474,918.1579065
1994Q4,925.9737209,6.573406675,919.4003142
1995Q1,926.3278493,6.471712951,919.8561363
1995Q2,926.625746,6.405630749,920.2201153
1995Q3,927.4728257,6.778975278,920.6938504
1995Q4,928.1495517,6.155028775,921.994523
1996Q1,928.8957079,6.001170309,922.8945376
1996Q2,930.5497995,6.315346151,924.2344533
1996Q3,931.4427918,6.607615301,924.8351765
1996Q4,932.4758196,6.56000092,925.9158187
1997Q1,933.1193091,6.974313859,926.1449953
1997Q2,934.7676505,8.057306617,926.7103439
1997Q3,936.01074,8.497309391,927.5134307
1997Q4,936.8658897,8.722590982,928.1432987
1998Q1,937.8604079,8.838507685,929.0219002
1998Q2,938.7819557,8.439960462,930.3419952
1998Q3,940.0267433,8.621439228,931.4053041
1998Q4,941.6297072,9.207247737,932.4224594
1999Q1,942.5717281,9.145998177,933.4257299
1999Q2,943.3379438,8.47427471,934.8636691
1999Q3,944.6391067,8.792666929,935.8464397
1999Q4,946.3244103,9.321356508,937.0030538
2000Q1,946.6855177,9.090816218,937.5947015
2000Q2,948.5001185,9.529540196,938.9705783
2000Q3,948.6335846,8.731643658,939.901941
2000Q4,949.2545423,7.995846503,941.2586958
2001Q1,948.9689572,6.287300671,942.6816566
2001Q2,949.5518111,6.287579478,943.2642316
2001Q3,949.1359094,4.427577202,944.7083322
2001Q4,949.4079105,3.205595093,946.2023154
2002Q1,950.278623,3.563255434,946.7153675
2002Q2,950.8825283,2.397329154,948.4851992
2002Q3,951.3261143,2.631485704,948.6946286
2002Q4,951.4808173,2.377687702,949.1031295
2003Q1,952.0340508,2.662206562,949.3718443
2003Q2,952.8906315,3.463065258,949.4275662
2003Q3,954.5745826,5.479329872,949.0952527
2003Q4,955.7162082,6.449155437,949.2670527
2004Q1,956.2485361,6.367571034,949.8809651
2004Q2,957.0077233,6.292890664,950.7148327
2004Q3,957.9486111,7.009984109,950.938627
2004Q4,958.9453017,7.265531758,951.67977
2005Q1,960.0461833,7.951988298,952.094195
2005Q2,960.5066827,7.592868042,952.9138146
2005Q3,961.3940676,6.980763638,954.4133039
2005Q4,962.0235453,6.313722845,955.7098225
2006Q1,963.3450618,6.954066105,956.3909957
2006Q2,963.5784889,6.801228422,956.7772605
2006Q3,963.7330023,5.692710796,958.0402915
2006Q4,964.5812596,5.68728099,958.8939786
2007Q1,964.8164759,5.002697815,959.813778
2007Q2,965.3877136,4.76629289,960.6214207
2007Q3,965.9295145,4.517529788,961.4119847
2007Q4,966.5355165,4.531593012,962.0039235
2008Q1,965.9591589,2.58710634,963.3720526
2008Q2,966.4742173,3.027322253,963.4468951
2008Q3,965.9313911,2.054619959,963.8767711
2008Q4,963.7438262,-0.657277822,964.401104
2009Q1,962.6147813,-2.419069696,965.033851
2009Q2,962.4706878,-2.724494731,965.1951825
2009Q3,962.8341376,-3.145771527,965.9799092
2009Q4,963.9265333,-2.685494102,966.6120274
2010Q1,964.3105747,-2.060820313,966.371395
2010Q2,965.2283782,-1.171621521,966.3999998
2010Q3,965.9628854,0.195444209,965.7674412
2010Q4,966.4635326,2.58129163,963.882241
2011Q1,966.2228018,3.071998923,963.1508029
2011Q2,966.9352313,4.852670111,962.0825612
2011Q3,966.9074488,4.259322285,962.6481265
2011Q4,968.0600656,4.334646465,963.7254191
2012Q1,968.8400089,4.209254335,964.6307545
2012Q2,969.2692877,3.928746321,965.3405413
2012Q3,969.4041449,3.484806004,965.9193389
2012Q4,969.5179533,3.398628894,966.1193245
2013Q1,970.3997293,3.697058743,966.7026706
2013Q2,970.5230497,3.758557029,966.7644927
2013Q3,971.3034121,4.352777565,966.9506346
2013Q4,972.0984919,3.90251393,968.195978
2014Q1,971.8153864,3.389897323,968.4254891
2014Q2,973.1599873,3.652799746,969.5071876
2014Q3,974.3735263,4.935410617,969.4381157
2014Q4,974.9347423,5.143587941,969.7911543
2015Q1,975.8794211,5.6824909,970.1969302
2015Q2,976.5537555,5.992101464,970.561654
2015Q3,976.9157041,5.629562755,971.2861413
2015Q4,977.075938,5.204768512,971.8711695
2016Q1,977.6407534,5.699287367,971.941466
2016Q2,977.9521862,4.610985397,973.3412008
2016Q3,978.4951058,4.190171555,974.3049343
2016Q4,979.1224323,4.482517309,974.639915
2017Q1,979.6865074,4.007556878,975.6789505
2017Q2,980.1125426,3.518369131,976.5941735
2017Q3,980.8387331,4.025655027,976.813078
2017Q4,981.7898727,4.501752579,977.2881201
2018Q1,982.7172385,5.082847777,977.6343907
2018Q2,983.3836411,5.269100769,978.1145403
2018Q3,983.9074624,5.341598435,978.5658639
2018Q4,984.235246,5.132217232,979.1030288
2019Q1,984.9577522,5.34618028,979.6115719
2019Q2,985.3277829,5.090078995,980.2377039
2019Q3,985.9626779,5.136028584,980.8266493
2019Q4,986.5471981,4.701294704,981.8459034
2020Q1,985.2765043,2.552036788,982.7244675
2020Q2,975.8606914,-7.441092491,983.3017839
2020Q3,983.0729799,-0.770241175,983.8432211
2020Q4,984.1315615,-0.110148733,984.2417103
